Year,Age,Major ethnic group,Sex,Life expectancy
2018,60,Bumiputera,Female,20.1
2018,65,Bumiputera,Female,16.3
2018,70,Bumiputera,Female,12.7
2018,75,Bumiputera,Female,9.5
2018,80+,Bumiputera,Female,6.7
2019,0,Bumiputera,Male,71.1
2019,1,Bumiputera,Male,70.7
2019,5,Bumiputera,Male,66.8
2019,10,Bumiputera,Male,61.9
2019,15,Bumiputera,Male,57
2019,20,Bumiputera,Male,52.3
2019,25,Bumiputera,Male,47.6
2019,30,Bumiputera,Male,42.9
2019,35,Bumiputera,Male,38.2
2019,40,Bumiputera,Male,33.7
2019,45,Bumiputera,Male,29.4
2019,50,Bumiputera,Male,25.2
2019,55,Bumiputera,Male,21.3
2019,60,Bumiputera,Male,17.7
2019,65,Bumiputera,Male,14.3
2019,70,Bumiputera,Male,11.2
2019,75,Bumiputera,Male,8.4
2019,80+,Bumiputera,Male,5.9
2019,0,Bumiputera,Female,76.2
2019,1,Bumiputera,Female,75.7
2019,5,Bumiputera,Female,71.8
2019,10,Bumiputera,Female,66.8
2019,15,Bumiputera,Female,61.9
2019,20,Bumiputera,Female,57
2019,25,Bumiputera,Female,52.1
2019,30,Bumiputera,Female,47.3
2019,35,Bumiputera,Female,42.5
2019,40,Bumiputera,Female,37.7
2019,45,Bumiputera,Female,33.1
2019,50,Bumiputera,Female,28.6
2019,55,Bumiputera,Female,24.3
2019,60,Bumiputera,Female,20.3
2019,65,Bumiputera,Female,16.5
2019,70,Bumiputera,Female,12.9
2019,75,Bumiputera,Female,9.6
2019,80+,Bumiputera,Female,6.8
2020p,0,Bumiputera,Male,71.5
2020p,1,Bumiputera,Male,71
2020p,5,Bumiputera,Male,67.1
2020p,10,Bumiputera,Male,62.2
2020p,15,Bumiputera,Male,57.3
2020p,20,Bumiputera,Male,52.5
2020p,25,Bumiputera,Male,47.8
2020p,30,Bumiputera,Male,43.1
2020p,35,Bumiputera,Male,38.5
2020p,40,Bumiputera,Male,33.9
2020p,45,Bumiputera,Male,29.6
2020p,50,Bumiputera,Male,25.5
2020p,55,Bumiputera,Male,21.6
